date,close
04/05/2021,30.00
01/02/2021,32.40
02/11/2020,30.05
03/08/2020,34.50
04/05/2020,34.10
03/02/2020,36.80
01/11/2019,34.70
01/08/2019,36.60
02/05/2019,38.45
01/02/2019,43.10
01/11/2018,39.05
01/08/2018,38.50
02/05/2018,34.05
01/02/2018,33.20
01/11/2017,25.85
01/08/2017,35.00
03/05/2017,40.80
02/02/2017,46.00
01/11/2016,45.00
01/08/2016,50.00
04/05/2016,49.30
01/02/2016,48.00
02/11/2015,54.50
03/08/2015,59.00
04/05/2015,52.50
02/02/2015,50.00
03/11/2014,53.00
01/08/2014,48.30
05/05/2014,51.50
06/02/2014,45.60
01/11/2013,37.90
01/08/2013,38.50
02/05/2013,39.20
01/02/2013,41.00
01/11/2012,39.30
01/08/2012,39.00
02/05/2012,38.90
01/02/2012,36.90
01/11/2011,36.80
01/08/2011,36.40
04/05/2011,38.50
08/02/2011,39.80
01/11/2010,43.00
02/08/2010,52.00
04/05/2010,56.00
01/02/2010,59.00
02/11/2009,83.00
03/08/2009,48.50
04/05/2009,33.20
02/02/2009,22.70
03/11/2008,25.70
01/08/2008,33.50
05/05/2008,45.40
01/02/2008,77.00
