date,close
04/05/2021,27.60
01/02/2021,23.60
02/11/2020,26.80
03/08/2020,20.45
04/05/2020,21.60
03/02/2020,24.85
01/11/2019,26.40
01/08/2019,25.95
02/05/2019,26.25
01/02/2019,20.35
01/11/2018,19.80
01/08/2018,19.55
02/05/2018,29.80
01/02/2018,34.75
01/11/2017,28.70
01/08/2017,29.85
03/05/2017,28.25
02/02/2017,27.40
01/11/2016,26.40
01/08/2016,27.40
04/05/2016,25.10
01/02/2016,24.00
02/11/2015,26.00
03/08/2015,20.60
04/05/2015,16.60
02/02/2015,16.00
03/11/2014,19.10
01/08/2014,13.70
05/05/2014,14.90
06/02/2014,14.20
01/11/2013,11.40
01/08/2013,12.30
02/05/2013,14.40
01/02/2013,9.50
01/11/2012,7.80
01/08/2012,9.10
02/05/2012,11.50
01/02/2012,8.50
01/11/2011,10.30
01/08/2011,10.00
04/05/2011,13.30
08/02/2011,15.80
01/11/2010,16.00
02/08/2010,19.00
04/05/2010,25.00
01/02/2010,22.30
02/11/2009,25.80
03/08/2009,29.50
04/05/2009,22.50
02/02/2009,16.20
03/11/2008,18.90
01/08/2008,17.80
05/05/2008,33.70
01/02/2008,76.90
