date,close
04/05/2021,59.10
01/02/2021,60.00
02/11/2020,54.30
03/08/2020,50.00
04/05/2020,46.70
03/02/2020,42.20
01/11/2019,53.00
01/08/2019,48.70
02/05/2019,46.70
01/02/2019,45.60
01/11/2018,55.40
01/08/2018,56.80
02/05/2018,53.50
01/02/2018,85.40
01/11/2017,74.10
01/08/2017,79.50
03/05/2017,185.00
02/02/2017,193.30
01/11/2016,201.70
01/08/2016,155.00
04/05/2016,141.00
01/02/2016,119.00
02/11/2015,123.00
03/08/2015,90.50
04/05/2015,75.00
02/02/2015,79.00
03/11/2014,67.00
01/08/2014,69.00
05/05/2014,73.50
01/11/2013,67.50
01/08/2013,74.00
02/05/2013,65.00
01/02/2013,51.00
01/11/2012,39.20
01/08/2012,44.40
02/05/2012,48.10
01/02/2012,33.60
01/11/2011,35.70
01/08/2011,34.00
04/05/2011,38.00
01/11/2010,48.00
02/08/2010,51.00
04/05/2010,58.00
01/02/2010,63.50
02/11/2009,139.00
03/08/2009,80.00
04/05/2009,41.20
02/02/2009,29.90
03/11/2008,35.00
01/08/2008,50.50
05/05/2008,72.00
01/02/2008,138.00
