date,close
04/05/2021,37.90
01/02/2021,30.35
02/11/2020,31.90
03/08/2020,25.50
04/05/2020,27.25
03/02/2020,31.50
01/11/2019,34.50
01/08/2019,33.90
02/05/2019,34.55
01/02/2019,34.70
01/11/2018,35.00
01/08/2018,32.90
02/05/2018,34.50
01/02/2018,37.40
01/11/2017,69.30
01/08/2017,66.60
03/05/2017,61.20
02/02/2017,55.90
01/11/2016,60.70
01/08/2016,58.00
04/05/2016,61.50
01/02/2016,46.80
02/11/2015,48.50
03/08/2015,31.80
04/05/2015,32.30
02/02/2015,30.80
03/11/2014,29.40
01/08/2014,28.90
05/05/2014,29.80
06/02/2014,27.60
01/11/2013,25.80
01/08/2013,20.60
02/05/2013,16.40
01/02/2013,16.20
01/11/2012,15.00
01/08/2012,15.50
02/05/2012,15.40
01/02/2012,12.90
01/11/2011,13.00
01/08/2011,13.30
04/05/2011,15.60
08/02/2011,18.80
01/11/2010,20.00
02/08/2010,22.00
04/05/2010,25.80
01/02/2010,23.30
02/11/2009,28.60
03/08/2009,22.00
04/05/2009,18.30
02/02/2009,15.20
03/11/2008,16.60
01/08/2008,19.30
05/05/2008,35.20
01/02/2008,56.00
