date,close
04/05/2021,21.50
01/02/2021,20.70
02/11/2020,19.70
03/08/2020,19.20
04/05/2020,20.80
03/02/2020,23.60
01/11/2019,22.95
01/08/2019,23.50
02/05/2019,26.25
01/02/2019,26.00
01/11/2018,27.00
01/08/2018,27.10
02/05/2018,28.70
01/02/2018,30.70
01/11/2017,28.00
01/08/2017,31.50
03/05/2017,32.20
02/02/2017,38.15
01/11/2016,40.20
01/08/2016,39.30
04/05/2016,37.80
01/02/2016,32.40
02/11/2015,32.10
03/08/2015,30.00
04/05/2015,31.50
02/02/2015,30.70
03/11/2014,37.80
01/08/2014,36.30
05/05/2014,41.80
01/11/2013,31.50
01/08/2013,32.60
02/05/2013,29.20
01/02/2013,25.60
01/11/2012,23.20
01/08/2012,25.80
02/05/2012,29.40
01/02/2012,23.10
