date,close
04/05/2021,3.01
01/02/2021,1.47
02/11/2020,1.31
03/08/2020,1.32
04/05/2020,1.42
03/02/2020,1.60
01/11/2019,1.61
01/08/2019,1.54
02/05/2019,1.53
01/02/2019,1.31
01/11/2018,2.10
01/08/2018,2.89
02/05/2018,2.98
01/02/2018,3.55
01/11/2017,3.17
01/08/2017,4.20
03/05/2017,3.69
02/02/2017,2.78
01/11/2016,5.43
01/08/2016,7.20
04/05/2016,7.00
01/02/2016,5.70
02/11/2015,8.50
03/08/2015,6.90
04/05/2015,8.50
02/02/2015,11.20
03/11/2014,11.30
01/08/2014,9.60
05/05/2014,8.30
06/02/2014,5.60
01/11/2013,3.80
01/08/2013,3.90
02/05/2013,3.80
01/02/2013,5.20
01/11/2012,3.60
01/08/2012,6.20
02/05/2012,19.90
01/02/2012,22.50
01/11/2011,22.50
01/08/2011,22.00
04/05/2011,32.50
08/02/2011,32.50
01/11/2010,24.10
02/08/2010,25.60
