date,close
04/05/2021,15.35
01/02/2021,12.90
02/11/2020,10.80
03/08/2020,8.74
04/05/2020,9.18
03/02/2020,9.70
01/11/2019,11.15
01/08/2019,12.55
02/05/2019,15.30
01/02/2019,15.30
01/11/2018,15.65
01/08/2018,16.00
02/05/2018,17.75
01/02/2018,16.75
01/11/2017,17.40
01/08/2017,16.40
03/05/2017,20.40
02/02/2017,22.30
01/11/2016,24.20
01/08/2016,22.90
04/05/2016,48.20
01/02/2016,26.00
02/11/2015,24.00
03/08/2015,23.80
04/05/2015,25.50
02/02/2015,28.00
03/11/2014,23.70
01/08/2014,28.80
05/05/2014,24.20
01/11/2013,23.10
01/08/2013,20.90
02/05/2013,19.70
01/02/2013,23.50
01/11/2012,20.50
01/08/2012,21.50
02/05/2012,27.40
01/02/2012,22.60
01/11/2011,24.00
01/08/2011,29.40
04/05/2011,42.00
