date,close
04/05/2021,5.30
01/02/2021,4.97
02/11/2020,4.29
03/08/2020,2.70
04/05/2020,2.57
03/02/2020,3.06
01/11/2019,3.49
01/08/2019,3.31
02/05/2019,3.50
01/02/2019,4.09
01/11/2018,4.90
01/08/2018,5.75
02/05/2018,5.75
01/02/2018,9.26
01/11/2017,9.77
01/08/2017,11.80
03/05/2017,3.50
02/02/2017,2.50
01/11/2016,4.26
01/08/2016,5.60
04/05/2016,4.50
01/02/2016,5.00
02/11/2015,6.30
03/08/2015,6.70
04/05/2015,7.50
02/02/2015,9.30
03/11/2014,12.00
01/08/2014,10.10
05/05/2014,8.30
06/02/2014,8.10
01/11/2013,6.50
01/08/2013,12.80
02/05/2013,36.00
01/02/2013,15.20
