date,close
04/05/2021,36.95
01/02/2021,29.90
02/11/2020,24.40
03/08/2020,23.60
04/05/2020,20.90
03/02/2020,24.70
01/11/2019,26.00
01/08/2019,22.90
02/05/2019,31.00
01/02/2019,30.15
01/11/2018,31.70
01/08/2018,30.10
02/05/2018,34.55
01/02/2018,34.50
01/11/2017,26.00
01/08/2017,28.20
03/05/2017,25.00
02/02/2017,19.80
01/11/2016,21.20
01/08/2016,23.30
04/05/2016,23.00
01/02/2016,20.70
02/11/2015,20.20
03/08/2015,21.60
04/05/2015,19.90
02/02/2015,21.80
03/11/2014,20.00
01/08/2014,19.90
05/05/2014,15.50
01/11/2013,10.80
01/08/2013,9.40
02/05/2013,8.00
01/02/2013,8.40
01/11/2012,11.60
01/08/2012,14.90
02/05/2012,20.40
01/02/2012,18.60
01/11/2011,32.00
01/08/2011,35.40
04/05/2011,41.50
01/11/2010,47.00
02/08/2010,48.50
04/05/2010,56.00
01/02/2010,48.00
