date,close
04/05/2021,17.55
01/02/2021,16.00
02/11/2020,12.65
03/08/2020,13.80
04/05/2020,15.70
03/02/2020,12.15
01/11/2019,21.00
01/08/2019,18.90
02/05/2019,19.45
01/02/2019,23.65
01/11/2018,25.00
01/08/2018,18.80
02/05/2018,16.70
01/02/2018,16.50
01/11/2017,13.80
01/08/2017,14.40
03/05/2017,15.90
02/02/2017,15.80
01/11/2016,14.90
01/08/2016,14.90
04/05/2016,16.10
01/02/2016,16.50
02/11/2015,16.90
03/08/2015,15.40
04/05/2015,15.50
02/02/2015,15.50
03/11/2014,14.00
01/08/2014,13.90
05/05/2014,14.90
01/11/2013,10.40
01/08/2013,9.30
02/05/2013,9.70
01/02/2013,9.30
01/11/2012,6.70
01/08/2012,9.00
02/05/2012,10.30
01/02/2012,6.90
01/11/2011,8.40
01/08/2011,9.70
04/05/2011,12.20
01/11/2010,24.60
02/08/2010,38.00
04/05/2010,24.90
01/02/2010,19.00
02/11/2009,23.80
03/08/2009,15.80
04/05/2009,12.30
02/02/2009,10.80
03/11/2008,12.50
01/08/2008,12.80
05/05/2008,21.40
01/02/2008,45.80
