date,close
04/05/2021,62.80
01/02/2021,66.00
02/11/2020,64.70
03/08/2020,44.00
04/05/2020,42.00
03/02/2020,39.50
01/11/2019,40.00
01/08/2019,39.45
02/05/2019,24.50
01/02/2019,35.30
01/11/2018,24.00
01/08/2018,27.00
02/05/2018,26.50
01/02/2018,20.95
01/11/2017,22.90
01/08/2017,22.85
03/05/2017,24.45
02/02/2017,25.25
01/11/2016,21.40
01/08/2016,22.00
04/05/2016,21.90
01/02/2016,22.70
02/11/2015,24.00
03/08/2015,25.50
04/05/2015,21.20
02/02/2015,31.40
03/11/2014,25.50
01/08/2014,39.00
05/05/2014,15.60
06/02/2014,12.30
01/11/2013,10.70
01/08/2013,12.20
02/05/2013,17.50
01/02/2013,18.20
01/11/2012,12.80
01/08/2012,22.50
02/05/2012,14.20
01/02/2012,17.20
01/11/2011,21.40
01/08/2011,20.00
04/05/2011,26.60
08/02/2011,27.50
01/11/2010,28.90
02/08/2010,29.00
04/05/2010,35.00
01/02/2010,28.10
02/11/2009,31.30
03/08/2009,25.70
04/05/2009,24.80
02/02/2009,18.50
03/11/2008,18.70
01/08/2008,39.20
05/05/2008,51.50
01/02/2008,55.00
