date,close
04/05/2021,57.60
01/02/2021,50.40
02/11/2020,56.00
03/08/2020,54.00
04/05/2020,55.90
03/02/2020,44.50
01/11/2019,41.35
01/08/2019,41.10
02/05/2019,45.50
01/02/2019,45.90
01/11/2018,48.90
01/08/2018,40.55
02/05/2018,46.00
01/02/2018,49.90
01/11/2017,45.00
01/08/2017,49.00
03/05/2017,48.70
02/02/2017,55.90
01/11/2016,58.00
01/08/2016,58.00
04/05/2016,81.00
01/02/2016,64.00
02/11/2015,50.50
03/08/2015,38.60
04/05/2015,36.80
02/02/2015,32.50
03/11/2014,29.50
01/08/2014,27.10
05/05/2014,30.20
06/02/2014,30.40
01/11/2013,30.00
01/08/2013,26.60
02/05/2013,27.50
01/02/2013,34.60
01/11/2012,29.00
01/08/2012,27.30
02/05/2012,35.70
01/02/2012,36.20
01/11/2011,32.50
01/08/2011,48.20
04/05/2011,47.00
08/02/2011,65.00
01/11/2010,63.00
02/08/2010,71.00
04/05/2010,74.50
01/02/2010,63.00
