date,close
04/05/2021,73.00
01/02/2021,54.50
02/11/2020,40.60
03/08/2020,24.30
04/05/2020,26.90
03/02/2020,26.05
01/11/2019,26.00
01/08/2019,27.30
02/05/2019,23.55
01/02/2019,26.30
01/11/2018,26.40
01/08/2018,26.10
02/05/2018,31.80
01/02/2018,38.70
01/11/2017,31.60
01/08/2017,27.90
03/05/2017,24.70
02/02/2017,13.80
01/11/2016,13.85
01/08/2016,12.80
04/05/2016,14.40
01/02/2016,12.90
02/11/2015,13.30
03/08/2015,18.70
04/05/2015,17.60
02/02/2015,17.00
03/11/2014,16.60
01/08/2014,10.50
05/05/2014,11.20
06/02/2014,14.10
01/11/2013,12.50
01/08/2013,11.80
02/05/2013,10.60
01/02/2013,19.00
01/11/2012,12.80
01/08/2012,13.60
02/05/2012,14.60
01/02/2012,16.00
01/11/2011,22.40
01/08/2011,24.50
04/05/2011,28.00
08/02/2011,34.00
01/11/2010,32.50
02/08/2010,39.30
