date,close
04/05/2021,5.92
01/02/2021,5.20
02/11/2020,4.20
03/08/2020,3.70
04/05/2020,3.82
03/02/2020,3.12
01/11/2019,3.73
01/08/2019,5.00
02/05/2019,5.50
01/02/2019,5.10
01/11/2018,5.90
01/08/2018,7.50
02/05/2018,5.70
01/02/2018,6.40
01/11/2017,6.74
01/08/2017,6.94
03/05/2017,7.10
02/02/2017,7.20
01/11/2016,7.80
01/08/2016,7.50
04/05/2016,7.80
01/02/2016,7.40
02/11/2015,7.60
03/08/2015,7.60
04/05/2015,8.00
02/02/2015,7.60
03/11/2014,8.00
01/08/2014,10.10
05/05/2014,8.30
01/11/2013,5.80
01/08/2013,5.70
02/05/2013,6.30
01/02/2013,6.40
01/11/2012,6.20
01/08/2012,7.20
02/05/2012,8.00
01/02/2012,7.00
01/11/2011,8.80
01/08/2011,9.80
04/05/2011,10.20
01/11/2010,13.90
02/08/2010,21.00
04/05/2010,26.20
01/02/2010,13.10
02/11/2009,16.40
03/08/2009,13.00
04/05/2009,15.10
02/02/2009,11.60
03/11/2008,15.10
01/08/2008,17.50
05/05/2008,21.10
01/02/2008,50.00
