date,close
04/05/2021,5.60
01/02/2021,5.50
02/11/2020,7.10
03/08/2020,4.39
04/05/2020,3.49
03/02/2020,3.84
01/11/2019,4.67
01/08/2019,3.80
02/05/2019,3.05
01/02/2019,2.61
01/11/2018,2.56
01/08/2018,3.15
02/05/2018,3.28
01/02/2018,3.80
01/11/2017,4.00
01/08/2017,3.70
03/05/2017,2.55
02/02/2017,2.70
01/11/2016,2.27
01/08/2016,2.20
04/05/2016,1.80
01/02/2016,1.80
02/11/2015,1.80
03/08/2015,2.20
04/05/2015,2.20
02/02/2015,2.60
03/11/2014,3.70
01/08/2014,3.40
05/05/2014,3.00
06/02/2014,2.80
01/11/2013,2.00
01/08/2013,2.40
02/05/2013,2.70
01/02/2013,3.20
01/11/2012,2.20
01/08/2012,4.20
02/05/2012,6.10
01/02/2012,4.10
01/11/2011,6.30
01/08/2011,8.10
04/05/2011,8.90
08/02/2011,12.00
01/11/2010,13.30
