date,close
04/05/2021,3.65
01/02/2021,3.18
02/11/2020,3.27
03/08/2020,2.80
04/05/2020,2.84
03/02/2020,2.66
01/11/2019,1.90
01/08/2019,2.21
02/05/2019,2.37
01/02/2019,2.50
01/11/2018,2.60
01/08/2018,2.65
02/05/2018,2.06
01/02/2018,2.44
01/11/2017,2.44
01/08/2017,2.78
03/05/2017,2.82
02/02/2017,3.20
01/11/2016,4.26
01/08/2016,5.20
04/05/2016,5.60
01/02/2016,5.10
02/11/2015,5.70
03/08/2015,8.20
04/05/2015,8.00
02/02/2015,8.00
03/11/2014,9.50
01/08/2014,5.20
05/05/2014,5.70
01/11/2013,3.20
01/08/2013,3.20
02/05/2013,3.20
01/02/2013,4.40
01/11/2012,3.90
01/08/2012,5.90
02/05/2012,7.80
01/02/2012,5.00
01/11/2011,6.90
01/08/2011,7.70
04/05/2011,8.40
01/11/2010,16.10
02/08/2010,29.30
