date,close
04/05/2021,4.70
01/02/2021,3.86
02/11/2020,3.30
03/08/2020,2.72
04/05/2020,4.20
03/02/2020,2.58
01/11/2019,1.94
01/08/2019,1.76
02/05/2019,1.85
01/02/2019,2.63
01/11/2018,2.62
01/08/2018,2.65
02/05/2018,2.90
01/02/2018,3.09
01/11/2017,3.55
01/08/2017,3.85
03/05/2017,3.80
02/02/2017,4.24
01/11/2016,5.05
01/08/2016,8.40
04/05/2016,8.40
01/02/2016,5.90
02/11/2015,5.40
03/08/2015,4.90
04/05/2015,5.20
02/02/2015,6.40
03/11/2014,5.10
01/08/2014,5.70
05/05/2014,6.00
01/11/2013,3.70
01/08/2013,3.10
02/05/2013,3.60
01/02/2013,4.30
01/11/2012,4.40
01/08/2012,5.00
02/05/2012,6.80
01/02/2012,5.80
01/11/2011,6.00
01/08/2011,6.40
04/05/2011,7.80
01/11/2010,8.40
02/08/2010,9.10
04/05/2010,10.20
01/02/2010,8.30
02/11/2009,10.40
03/08/2009,9.40
04/05/2009,8.40
02/02/2009,8.30
03/11/2008,11.70
01/08/2008,12.00
05/05/2008,18.20
01/02/2008,28.50
