date,close
04/05/2021,27.20
01/02/2021,28.10
02/11/2020,26.50
03/08/2020,23.30
04/05/2020,34.20
03/02/2020,42.20
01/11/2019,42.60
01/08/2019,44.80
02/05/2019,59.00
01/02/2019,64.00
01/11/2018,56.10
01/08/2018,63.00
02/05/2018,64.20
01/02/2018,65.00
01/11/2017,58.40
01/08/2017,49.00
03/05/2017,56.00
02/02/2017,61.00
01/11/2016,55.20
01/08/2016,55.00
04/05/2016,53.00
01/02/2016,49.00
02/11/2015,52.60
03/08/2015,56.00
04/05/2015,71.30
02/02/2015,73.00
03/11/2014,80.60
01/08/2014,120.00
05/05/2014,96.00
01/11/2013,163.90
01/08/2013,153.00
02/05/2013,166.00
01/02/2013,85.00
01/11/2012,75.70
01/08/2012,69.00
02/05/2012,75.10
01/02/2012,51.00
01/11/2011,43.00
01/08/2011,40.00
04/05/2011,41.00
01/11/2010,43.70
02/08/2010,56.10
04/05/2010,76.30
01/02/2010,65.00
02/11/2009,74.60
03/08/2009,78.00
04/05/2009,108.00
02/02/2009,86.50
03/11/2008,89.00
01/08/2008,100.00
05/05/2008,98.00
01/02/2008,262.00
