date,close
04/05/2021,9.10
01/02/2021,5.25
02/11/2020,4.89
03/08/2020,4.74
04/05/2020,5.20
03/02/2020,5.50
01/11/2019,5.39
01/08/2019,6.53
02/05/2019,8.80
01/02/2019,7.38
01/11/2018,9.97
01/08/2018,5.25
02/05/2018,10.20
01/02/2018,8.10
01/11/2017,10.30
01/08/2017,11.90
03/05/2017,12.00
02/02/2017,14.40
01/11/2016,13.50
01/08/2016,28.20
04/05/2016,39.10
01/02/2016,36.10
02/11/2015,57.50
03/08/2015,40.30
04/05/2015,31.50
02/02/2015,17.10
03/11/2014,14.00
01/08/2014,8.20
05/05/2014,8.30
01/11/2013,5.40
01/08/2013,5.90
02/05/2013,6.20
01/02/2013,6.20
01/11/2012,5.40
01/08/2012,5.60
02/05/2012,5.60
01/02/2012,5.80
01/11/2011,5.70
01/08/2011,8.30
04/05/2011,9.80
01/11/2010,17.30
02/08/2010,27.30
04/05/2010,65.50
01/02/2010,51.50
