date,close
04/05/2021,6.62
01/02/2021,5.54
02/11/2020,4.96
03/08/2020,4.62
04/05/2020,3.97
03/02/2020,3.55
01/11/2019,3.45
01/08/2019,3.45
02/05/2019,4.20
01/02/2019,3.94
01/11/2018,5.27
01/08/2018,6.40
02/05/2018,7.80
01/02/2018,6.70
01/11/2017,8.30
01/08/2017,8.80
03/05/2017,8.72
02/02/2017,7.95
01/11/2016,6.15
01/08/2016,8.50
04/05/2016,10.00
01/02/2016,12.30
02/11/2015,11.00
03/08/2015,13.40
04/05/2015,13.60
02/02/2015,10.10
03/11/2014,9.60
01/08/2014,6.10
05/05/2014,6.40
01/11/2013,5.60
01/08/2013,4.60
02/05/2013,5.30
01/02/2013,6.60
01/11/2012,5.90
01/08/2012,7.30
02/05/2012,7.40
01/02/2012,3.20
01/11/2011,4.60
01/08/2011,4.80
04/05/2011,6.70
01/11/2010,10.90
02/08/2010,17.30
04/05/2010,18.00
01/02/2010,15.70
02/11/2009,17.00
03/08/2009,14.50
04/05/2009,8.10
02/02/2009,7.10
03/11/2008,7.90
01/08/2008,10.50
05/05/2008,21.50
01/02/2008,49.00
