date,close
04/05/2021,12.90
01/02/2021,12.95
02/11/2020,14.50
03/08/2020,14.00
04/05/2020,13.30
03/02/2020,19.45
01/11/2019,22.50
01/08/2019,19.45
02/05/2019,21.60
01/02/2019,20.90
01/11/2018,18.65
01/08/2018,16.60
02/05/2018,13.60
01/02/2018,16.90
01/11/2017,14.80
01/08/2017,12.10
03/05/2017,10.85
02/02/2017,10.00
01/11/2016,10.30
01/08/2016,14.50
04/05/2016,11.60
01/02/2016,12.10
02/11/2015,9.40
03/08/2015,11.10
04/05/2015,12.40
02/02/2015,10.70
03/11/2014,8.60
01/08/2014,7.80
05/05/2014,11.20
01/11/2013,6.00
01/08/2013,5.10
02/05/2013,6.00
01/02/2013,6.40
01/11/2012,4.60
01/08/2012,5.50
02/05/2012,6.60
01/02/2012,6.60
01/11/2011,16.20
01/08/2011,17.00
04/05/2011,15.80
01/11/2010,15.60
02/08/2010,16.40
04/05/2010,11.80
01/02/2010,9.80
