date,close
04/05/2021,19.30
01/02/2021,17.60
02/11/2020,17.70
03/08/2020,22.40
04/05/2020,26.15
03/02/2020,22.95
01/11/2019,23.90
01/08/2019,22.80
02/05/2019,28.20
01/02/2019,28.80
01/11/2018,25.50
01/08/2018,24.50
02/05/2018,20.70
01/02/2018,15.50
01/11/2017,14.80
01/08/2017,15.40
03/05/2017,14.70
02/02/2017,13.10
01/11/2016,11.35
01/08/2016,12.20
04/05/2016,14.10
01/02/2016,13.70
02/11/2015,15.80
03/08/2015,9.20
04/05/2015,11.00
02/02/2015,9.50
03/11/2014,8.50
01/08/2014,8.00
05/05/2014,8.90
01/11/2013,4.90
01/08/2013,6.70
02/05/2013,7.50
01/02/2013,7.30
01/11/2012,6.00
01/08/2012,7.30
02/05/2012,9.70
01/02/2012,6.10
01/11/2011,7.40
01/08/2011,6.50
04/05/2011,10.20
