date,Value Volume,Symbol
05/8/2021,1453.8461538461538,CEE
05/5/2021,2255.5555555555557,CEE
05/2/2021,1130.7692307692307,CEE
05/11/2020,963.8461538461538,CEE
05/8/2020,71.53846153846153,CEE
05/5/2020,995.0,CEE
05/2/2020,1252.5,CEE
05/11/2019,4741.666666666667,CEE
05/8/2019,18125.454545454544,CEE
05/5/2019,2648.5714285714284,CEE
05/2/2019,8687.0,CEE
05/11/2018,16300.0,CEE
05/8/2018,15209.09090909091,CEE
05/5/2018,102210.0,CEE
05/2/2018,69395.55555555556,CEE
05/11/2017,70381.81818181818,CEE
05/8/2017,120267.5,CEE
05/5/2017,,CEE
05/2/2017,,CEE
05/11/2016,,CEE
05/8/2016,,CEE
05/5/2016,,CEE
05/2/2016,,CEE
05/11/2015,,CEE
05/8/2015,,CEE
05/5/2015,,CEE
05/2/2015,,CEE
05/11/2014,,CEE
05/8/2014,,CEE
05/5/2014,,CEE
05/2/2014,,CEE
05/11/2013,,CEE
05/8/2013,,CEE
05/5/2013,,CEE
05/2/2013,,CEE
05/11/2012,,CEE
05/8/2012,,CEE
05/5/2012,,CEE
05/2/2012,,CEE
05/11/2011,,CEE
05/8/2011,,CEE
05/5/2011,,CEE
05/2/2011,,CEE
05/11/2010,,CEE
05/8/2010,,CEE
05/5/2010,,CEE
05/2/2010,,CEE
05/11/2009,,CEE
05/8/2009,,CEE
05/5/2009,,CEE
05/2/2009,,CEE
05/11/2008,,CEE
05/8/2008,,CEE
05/5/2008,,CEE
05/2/2008,,CEE
