date,Value Volume,Symbol
05/8/2021,6033446.153846154,ITA
05/5/2021,16353900.0,ITA
05/2/2021,14937061.538461538,ITA
05/11/2020,9798366.923076924,ITA
05/8/2020,10916130.0,ITA
05/5/2020,10480506.0,ITA
05/2/2020,2445105.0,ITA
05/11/2019,2282657.5,ITA
05/8/2019,2217958.1818181816,ITA
05/5/2019,1462030.0,ITA
05/2/2019,2106206.0,ITA
05/11/2018,2708361.8181818184,ITA
05/8/2018,3256200.0,ITA
05/5/2018,2400938.75,ITA
05/2/2018,2906340.0,ITA
05/11/2017,2974934.5454545454,ITA
05/8/2017,4221621.666666667,ITA
05/5/2017,3045337.0,ITA
05/2/2017,1218165.0,ITA
05/11/2016,7735362.5,ITA
05/8/2016,7005501.538461538,ITA
05/5/2016,2110727.0,ITA
05/2/2016,2921451.5384615385,ITA
05/11/2015,3956283.076923077,ITA
05/8/2015,1469570.7692307692,ITA
05/5/2015,2582298.75,ITA
05/2/2015,2593320.0,ITA
05/11/2014,4232226.923076923,ITA
05/8/2014,3085019.1666666665,ITA
05/5/2014,4907105.0,ITA
05/2/2014,10382116.666666666,ITA
05/11/2013,5603489.166666667,ITA
05/8/2013,1458887.2727272727,ITA
05/5/2013,3074238.5714285714,ITA
05/2/2013,6992757.5,ITA
05/11/2012,2734747.272727273,ITA
05/8/2012,2607690.909090909,ITA
05/5/2012,2270325.5555555555,ITA
05/2/2012,1312010.0,ITA
05/11/2011,843164.1666666666,ITA
05/8/2011,377169.23076923075,ITA
05/5/2011,516246.0,ITA
05/2/2011,871738.5714285715,ITA
05/11/2010,453034.6153846154,ITA
05/8/2010,324390.76923076925,ITA
05/5/2010,1039485.5555555555,ITA
05/2/2010,451010.0,ITA
05/11/2009,1997520.0,ITA
05/8/2009,893620.7692307692,ITA
05/5/2009,401979.0,ITA
05/2/2009,65660.0,ITA
05/11/2008,425372.3076923077,ITA
05/8/2008,29689.166666666668,ITA
05/5/2008,48385.0,ITA
05/2/2008,71478.0,ITA
