date,Value Volume,Symbol
05/8/2021,1018853.8461538461,KSB
05/5/2021,1214933.3333333333,KSB
05/2/2021,1363292.3076923077,KSB
05/11/2020,889621.5384615385,KSB
05/8/2020,1524390.7692307692,KSB
05/5/2020,1221613.0,KSB
05/2/2020,297692.5,KSB
05/11/2019,351295.8333333333,KSB
05/8/2019,414033.63636363635,KSB
05/5/2019,244302.85714285713,KSB
05/2/2019,160613.0,KSB
05/11/2018,314590.9090909091,KSB
05/8/2018,177110.0,KSB
05/5/2018,237850.0,KSB
05/2/2018,280208.8888888889,KSB
05/11/2017,247260.0,KSB
05/8/2017,300160.0,KSB
05/5/2017,506588.0,KSB
05/2/2017,86030.0,KSB
05/11/2016,161804.16666666666,KSB
05/8/2016,624378.4615384615,KSB
05/5/2016,300186.0,KSB
05/2/2016,73581.53846153847,KSB
05/11/2015,134539.23076923078,KSB
05/8/2015,131526.15384615384,KSB
05/5/2015,9862.5,KSB
05/2/2015,13251.538461538461,KSB
05/11/2014,60306.153846153844,KSB
05/8/2014,6810.0,KSB
05/5/2014,6356.25,KSB
05/2/2014,159316.66666666666,KSB
05/11/2013,93018.33333333333,KSB
05/8/2013,42926.36363636364,KSB
05/5/2013,4984.285714285715,KSB
05/2/2013,8068.333333333333,KSB
05/11/2012,9848.181818181818,KSB
05/8/2012,10240.90909090909,KSB
05/5/2012,98931.11111111111,KSB
05/2/2012,2326.6666666666665,KSB
05/11/2011,252.5,KSB
05/8/2011,246.92307692307693,KSB
05/5/2011,925.0,KSB
05/2/2011,174.28571428571428,KSB
05/11/2010,2452.3076923076924,KSB
05/8/2010,21507.69230769231,KSB
05/5/2010,88987.77777777778,KSB
05/2/2010,34611.53846153846,KSB
05/11/2009,,KSB
05/8/2009,,KSB
05/5/2009,,KSB
05/2/2009,,KSB
05/11/2008,,KSB
05/8/2008,,KSB
05/5/2008,,KSB
05/2/2008,,KSB
