date,close
06/05/2021,21.50
08/02/2021,21.30
06/11/2020,19.35
06/08/2020,19.80
06/05/2020,20.80
06/02/2020,23.00
06/11/2019,23.00
06/08/2019,23.50
07/05/2019,26.25
12/02/2019,26.00
06/11/2018,27.30
07/08/2018,26.90
08/05/2018,28.20
06/02/2018,30.20
07/11/2017,27.90
08/08/2017,30.80
08/05/2017,32.60
07/02/2017,38.40
08/11/2016,41.40
08/08/2016,38.40
06/05/2016,37.40
15/02/2016,31.80
06/11/2015,32.00
06/08/2015,30.00
06/05/2015,31.00
06/02/2015,30.80
06/11/2014,38.00
06/08/2014,37.10
06/05/2014,40.00
07/02/2014,37.10
06/11/2013,31.20
06/08/2013,34.90
07/05/2013,28.90
06/02/2013,26.70
06/11/2012,22.00
07/08/2012,26.20
08/05/2012,32.00
07/02/2012,22.90
