date,close
06/05/2021,17.50
08/02/2021,14.60
06/11/2020,16.00
06/08/2020,17.90
06/05/2020,8.00
06/02/2020,7.93
06/11/2019,8.02
06/08/2019,6.63
07/05/2019,6.68
12/02/2019,5.85
06/11/2018,5.90
07/08/2018,6.60
08/05/2018,7.34
06/02/2018,5.08
07/11/2017,8.78
08/08/2017,9.30
08/05/2017,9.80
07/02/2017,12.70
08/11/2016,13.80
08/08/2016,8.00
06/05/2016,9.70
15/02/2016,21.10
06/11/2015,18.90
06/08/2015,7.20
06/05/2015,7.00
06/02/2015,7.00
06/11/2014,6.70
06/08/2014,6.80
06/05/2014,7.00
07/02/2014,7.10
06/11/2013,6.50
06/08/2013,7.00
07/05/2013,8.80
06/02/2013,12.40
06/11/2012,9.20
07/08/2012,7.30
08/05/2012,7.50
07/02/2012,7.50
08/11/2011,9.20
