date,close
06/05/2021,57.20
08/02/2021,49.00
06/11/2020,42.40
06/08/2020,47.50
06/05/2020,27.60
06/02/2020,20.45
06/11/2019,23.50
06/08/2019,22.70
07/05/2019,22.00
12/02/2019,26.90
06/11/2018,28.30
07/08/2018,23.90
08/05/2018,19.80
06/02/2018,26.00
07/11/2017,23.20
08/08/2017,28.60
08/05/2017,27.00
07/02/2017,32.90
08/11/2016,38.40
08/08/2016,32.70
06/05/2016,32.00
15/02/2016,30.30
06/11/2015,27.10
06/08/2015,25.60
06/05/2015,26.50
06/02/2015,29.60
06/11/2014,29.50
06/08/2014,22.70
06/05/2014,20.90
07/02/2014,23.90
06/11/2013,17.40
06/08/2013,17.50
07/05/2013,18.70
06/02/2013,22.50
06/11/2012,20.40
07/08/2012,22.30
08/05/2012,24.40
07/02/2012,16.10
08/11/2011,15.60
08/08/2011,13.20
06/05/2011,15.10
09/02/2011,22.90
08/11/2010,33.50
06/08/2010,45.70
06/05/2010,42.30
08/02/2010,32.60
06/11/2009,38.70
06/08/2009,29.90
06/05/2009,23.00
06/02/2009,15.30
06/11/2008,20.80
06/08/2008,20.60
06/05/2008,28.60
-1.0,-1.0
