date,close
06/05/2021,11.00
08/02/2021,11.10
06/11/2020,10.45
06/08/2020,11.60
06/05/2020,25.50
06/02/2020,18.10
06/11/2019,20.20
06/08/2019,24.50
07/05/2019,21.00
12/02/2019,24.20
06/11/2018,27.00
07/08/2018,26.05
08/05/2018,24.00
06/02/2018,21.70
07/11/2017,21.00
08/08/2017,20.90
08/05/2017,24.30
07/02/2017,24.00
08/11/2016,25.10
08/08/2016,25.50
06/05/2016,28.80
15/02/2016,26.00
06/11/2015,29.40
06/08/2015,29.00
06/05/2015,26.80
06/02/2015,27.00
06/11/2014,25.30
06/08/2014,21.50
06/05/2014,21.20
07/02/2014,22.20
06/11/2013,18.20
06/08/2013,15.00
07/05/2013,13.30
06/02/2013,11.50
06/11/2012,10.30
07/08/2012,10.70
08/05/2012,12.10
07/02/2012,9.30
08/11/2011,9.90
08/08/2011,10.00
06/05/2011,13.20
09/02/2011,14.40
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
