date,close
06/05/2021,9.00
08/02/2021,5.30
06/11/2020,4.79
06/08/2020,4.21
06/05/2020,5.20
06/02/2020,6.19
06/11/2019,8.29
06/08/2019,9.40
07/05/2019,8.50
12/02/2019,7.50
06/11/2018,6.60
07/08/2018,5.20
08/05/2018,4.50
06/02/2018,3.08
07/11/2017,2.80
08/08/2017,4.05
08/05/2017,2.22
07/02/2017,1.99
08/11/2016,1.85
08/08/2016,1.80
06/05/2016,2.50
15/02/2016,2.30
06/11/2015,2.80
06/08/2015,3.50
06/05/2015,3.20
06/02/2015,4.40
06/11/2014,5.60
06/08/2014,6.30
06/05/2014,6.70
07/02/2014,6.70
06/11/2013,5.00
06/08/2013,3.80
07/05/2013,4.60
06/02/2013,5.10
06/11/2012,4.90
07/08/2012,4.40
08/05/2012,4.40
07/02/2012,2.00
08/11/2011,3.40
08/08/2011,3.80
06/05/2011,7.30
09/02/2011,10.70
08/11/2010,15.00
06/08/2010,24.50
10/05/2010,31.50
