date,close
06/05/2021,6.30
08/02/2021,4.50
06/11/2020,4.60
06/08/2020,4.30
06/05/2020,4.15
06/02/2020,4.12
06/11/2019,4.65
06/08/2019,5.72
07/05/2019,5.89
12/02/2019,5.56
06/11/2018,6.05
07/08/2018,6.45
08/05/2018,7.48
06/02/2018,7.45
07/11/2017,8.50
08/08/2017,9.38
08/05/2017,9.40
07/02/2017,8.98
08/11/2016,9.10
08/08/2016,9.10
06/05/2016,10.80
15/02/2016,10.20
06/11/2015,12.20
06/08/2015,11.30
06/05/2015,8.50
06/02/2015,7.50
06/11/2014,6.50
06/08/2014,5.10
06/05/2014,4.50
07/02/2014,4.40
06/11/2013,4.20
06/08/2013,3.50
07/05/2013,8.10
06/02/2013,13.70
