date,close
06/05/2021,47.00
08/02/2021,47.00
06/11/2020,41.60
06/08/2020,26.10
06/05/2020,25.40
06/02/2020,25.10
06/11/2019,27.30
06/08/2019,26.20
07/05/2019,26.50
12/02/2019,25.50
06/11/2018,19.00
07/08/2018,16.90
08/05/2018,18.20
06/02/2018,22.50
07/11/2017,21.60
08/08/2017,21.00
08/05/2017,15.70
07/02/2017,14.90
08/11/2016,15.80
08/08/2016,13.50
06/05/2016,10.30
15/02/2016,10.10
06/11/2015,12.20
06/08/2015,13.40
06/05/2015,11.80
06/02/2015,12.00
06/11/2014,12.90
06/08/2014,13.40
06/05/2014,12.30
07/02/2014,11.00
06/11/2013,9.80
06/08/2013,11.00
07/05/2013,10.60
06/02/2013,13.50
06/11/2012,5.90
07/08/2012,10.50
08/05/2012,13.10
07/02/2012,10.00
08/11/2011,11.80
08/08/2011,11.40
06/05/2011,19.40
09/02/2011,23.40
08/11/2010,22.70
06/08/2010,38.00
06/05/2010,51.00
08/02/2010,48.70
06/11/2009,60.20
06/08/2009,30.90
06/05/2009,17.20
06/02/2009,14.50
06/11/2008,20.60
