,time,tien,tyle
0,22/03/2021,True,8
1,27/03/2020,True,8
2,19/11/2019,True,7
3,26/03/2019,True,8
4,29/08/2018,True,7
5,23/03/2018,True,8
6,07/09/2017,True,7
7,30/03/2017,True,8
8,13/10/2016,True,7
9,18/07/2016,True,5
10,18/03/2016,True,8
11,11/09/2015,True,7
12,26/05/2015,True,5
13,18/03/2015,True,8
14,26/09/2014,True,7
15,14/05/2014,True,13
16,18/09/2013,True,7
17,13/03/2013,True,8
18,05/09/2012,True,7
19,14/03/2012,True,8
20,29/08/2011,True,7
21,27/04/2011,True,10
22,30/12/2010,True,8
23,27/08/2010,True,7
24,23/12/2009,True,7
