date,Value Volume
05/8/2021,3697000000.0
05/5/2021,1695333333.3333333
05/2/2021,11837000000.0
05/11/2020,564769230.7692307
05/8/2020,605209776.9230769
05/5/2020,1593601170.0
05/2/2020,269962887.5
05/11/2019,1196882350.0
05/8/2019,4571769590.909091
05/5/2019,447018000.0
05/2/2019,69805880.0
05/11/2018,197169090.9090909
05/8/2018,78095090.9090909
05/5/2018,539088571.4285715
05/2/2018,
05/11/2017,
05/8/2017,
05/5/2017,
05/2/2017,
05/11/2016,
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
