date,Value Volume
05/8/2021,720692307.6923077
05/5/2021,111111111.1111111
05/2/2021,330846153.84615386
05/11/2020,178307692.30769232
05/8/2020,377846153.84615386
05/5/2020,1558100000.0
05/2/2020,428875000.0
05/11/2019,137750000.0
05/8/2019,560545454.5454545
05/5/2019,88714285.71428572
05/2/2019,38800000.0
05/11/2018,73727272.72727273
05/8/2018,105909090.9090909
05/5/2018,224000000.0
05/2/2018,2671126666.6666665
05/11/2017,1719000000.0
05/8/2017,1910916666.6666667
05/5/2017,550300000.0
05/2/2017,2506500000.0
05/11/2016,328239166.6666667
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
