date,Value Volume
05/8/2021,26187076923.076923
05/5/2021,13011555555.555555
05/2/2021,14044000000.0
05/11/2020,928538461.5384616
05/8/2020,847846153.8461539
05/5/2020,1019500000.0
05/2/2020,326375000.0
05/11/2019,226416666.66666666
05/8/2019,224454545.45454547
05/5/2019,367142857.14285713
05/2/2019,519000000.0
05/11/2018,1007727272.7272727
05/8/2018,1397181818.1818182
05/5/2018,2201125000.0
05/2/2018,17541230000.0
05/11/2017,3069090909.090909
05/8/2017,6361000000.0
05/5/2017,1286474900.0
05/2/2017,1670694533.3333333
05/11/2016,572183683.3333334
05/8/2016,541709530.7692307
05/5/2016,1086990130.0
05/2/2016,272005492.3076923
05/11/2015,315451615.38461536
05/8/2015,1879483023.0769231
05/5/2015,2206118000.0
05/2/2015,2477112769.230769
05/11/2014,2979532846.1538463
05/8/2014,1370850291.6666667
05/5/2014,5665372576.0
05/2/2014,2330973670.3333335
05/11/2013,1422320833.3333333
05/8/2013,253546363.63636363
05/5/2013,326374285.71428573
05/2/2013,1809077500.0
05/11/2012,271960909.09090906
05/8/2012,481499090.90909094
05/5/2012,2815923333.3333335
05/2/2012,907156666.6666666
05/11/2011,659321666.6666666
05/8/2011,305774615.38461536
05/5/2011,533406000.0
05/2/2011,888618571.4285715
05/11/2010,727090000.0
05/8/2010,1350924615.3846154
05/5/2010,5037125555.555555
05/2/2010,2450526923.076923
05/11/2009,12467410769.23077
05/8/2009,57683152500.0
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
