date,Value Volume
05/8/2021,416615384.61538464
05/5/2021,949444444.4444444
05/2/2021,681923076.9230769
05/11/2020,26692307.692307692
05/8/2020,142923076.92307693
05/5/2020,60000000.0
05/2/2020,33125000.0
05/11/2019,28083333.333333332
05/8/2019,48909090.90909091
05/5/2019,29857142.85714286
05/2/2019,6000000.0
05/11/2018,9272727.272727273
05/8/2018,34000000.0
05/5/2018,287750000.0
05/2/2018,66444444.44444445
05/11/2017,262181818.1818182
05/8/2017,352416666.6666667
05/5/2017,53900000.0
05/2/2017,27000000.0
05/11/2016,8833333.333333334
05/8/2016,10538461.538461538
05/5/2016,7200000.0
05/2/2016,4923076.923076923
05/11/2015,12307692.307692308
05/8/2015,7307692.307692308
05/5/2015,17125000.0
05/2/2015,8037230.769230769
05/11/2014,76404923.07692307
05/8/2014,8926500.0
05/5/2014,5111125.0
05/2/2014,8285166.666666667
05/11/2013,10811750.0
05/8/2013,62393181.81818182
05/5/2013,1859571.4285714286
05/2/2013,25912000.0
05/11/2012,29719636.363636363
05/8/2012,72417636.36363636
05/5/2012,96671000.0
05/2/2012,44489666.666666664
05/11/2011,26168250.0
05/8/2011,82877615.38461539
05/5/2011,147166600.0
05/2/2011,968979571.4285715
05/11/2010,908562538.4615384
05/8/2010,1144727923.0769231
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
