date,Value Volume
05/8/2021,4436615384.615385
05/5/2021,12757000000.0
05/2/2021,51293692307.69231
05/11/2020,35656615384.61539
05/8/2020,63829461538.46154
05/5/2020,28983500000.0
05/2/2020,2309625000.0
05/11/2019,20729666666.666668
05/8/2019,5114454545.454545
05/5/2019,4234142857.142857
05/2/2019,6741200000.0
05/11/2018,8415454545.454545
05/8/2018,31562363636.363636
05/5/2018,9319000000.0
05/2/2018,7142123333.333333
05/11/2017,8299181818.181818
05/8/2017,11861333333.333334
05/5/2017,5363100000.0
05/2/2017,26248500000.0
05/11/2016,19433000000.0
05/8/2016,13026846153.846153
05/5/2016,9731400000.0
05/2/2016,10115384615.384615
05/11/2015,17840307692.307693
05/8/2015,15540846153.846153
05/5/2015,27031625000.0
05/2/2015,20482203923.076923
05/11/2014,33256413923.076923
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
