date,Value Volume
05/8/2021,9558615384.615385
05/5/2021,14560333333.333334
05/2/2021,10947846153.846153
05/11/2020,2320307692.3076925
05/8/2020,607692307.6923077
05/5/2020,685500000.0
05/2/2020,1331125000.0
05/11/2019,3314333333.3333335
05/8/2019,1307181818.1818182
05/5/2019,2024857142.857143
05/2/2019,1749200000.0
05/11/2018,2008000000.0
05/8/2018,4116909090.909091
05/5/2018,904375000.0
05/2/2018,3620593333.3333335
05/11/2017,9130909090.90909
05/8/2017,9127333333.333334
05/5/2017,
05/2/2017,
05/11/2016,
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
