date,Value Volume
05/8/2021,44692307.692307696
05/5/2021,46222222.222222224
05/2/2021,98153846.15384616
05/11/2020,88153846.15384616
05/8/2020,4769230.769230769
05/5/2020,2400000.0
05/2/2020,31000000.0
05/11/2019,10333333.333333334
05/8/2019,15000000.0
05/5/2019,1000000.0
05/2/2019,6400000.0
05/11/2018,14000000.0
05/8/2018,3181818.1818181816
05/5/2018,34375000.0
05/2/2018,9787777.777777778
05/11/2017,8363636.363636363
05/8/2017,19416666.666666668
05/5/2017,48800000.0
05/2/2017,7333333.333333333
05/11/2016,119000000.0
05/8/2016,679846153.8461539
05/5/2016,914500000.0
05/2/2016,504153846.15384614
05/11/2015,303846153.84615386
05/8/2015,414923076.9230769
05/5/2015,162750000.0
05/2/2015,176601153.84615386
05/11/2014,44203692.307692304
05/8/2014,5932083.333333333
05/5/2014,0.0
05/2/2014,80000.0
05/11/2013,0.0
05/8/2013,4616363.636363637
05/5/2013,55142.857142857145
05/2/2013,64750.0
05/11/2012,9909.09090909091
05/8/2012,51545.454545454544
05/5/2012,1000666.6666666666
05/2/2012,15166.666666666666
05/11/2011,29583.333333333332
05/8/2011,26153.846153846152
05/5/2011,39900.0
05/2/2011,20164714.285714287
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
