date,Value Volume
05/8/2021,80076923.07692307
05/5/2021,157111111.1111111
05/2/2021,44384615.384615384
05/11/2020,25923076.923076924
05/8/2020,8846153.846153846
05/5/2020,8100000.0
05/2/2020,26875000.0
05/11/2019,29583333.333333332
05/8/2019,155272727.27272728
05/5/2019,103428571.42857143
05/2/2019,361000000.0
05/11/2018,405272727.27272725
05/8/2018,88000000.0
05/5/2018,141250000.0
05/2/2018,5626298888.888889
05/11/2017,448090909.09090906
05/8/2017,3578666666.6666665
05/5/2017,314400000.0
05/2/2017,613500000.0
05/11/2016,257833333.33333334
05/8/2016,565230769.2307693
05/5/2016,905800000.0
05/2/2016,163307692.30769232
05/11/2015,253769230.76923078
05/8/2015,590076923.0769231
05/5/2015,528625000.0
05/2/2015,1161792230.7692308
05/11/2014,1280281153.8461537
05/8/2014,536122000.0
05/5/2014,1078441375.0
05/2/2014,1078850666.6666667
05/11/2013,225029250.0
05/8/2013,58731818.18181818
05/5/2013,390101000.0
05/2/2013,937354166.6666666
05/11/2012,855470454.5454545
05/8/2012,1580319727.2727273
05/5/2012,4649988666.666667
05/2/2012,1534881333.3333333
05/11/2011,341434416.6666667
05/8/2011,279057846.15384614
05/5/2011,1388208900.0
05/2/2011,6971669857.142858
05/11/2010,4508429923.076923
05/8/2010,21465723538.46154
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
