date,Value Volume
05/8/2021,261230769.23076922
05/5/2021,880444444.4444444
05/2/2021,277307692.3076923
05/11/2020,131846153.84615384
05/8/2020,16307692.307692308
05/5/2020,12900000.0
05/2/2020,5000000.0
05/11/2019,30583333.333333332
05/8/2019,25454545.454545453
05/5/2019,572714285.7142857
05/2/2019,28200000.0
05/11/2018,168272727.27272728
05/8/2018,340636363.6363636
05/5/2018,660125000.0
05/2/2018,793527777.7777778
05/11/2017,2584363636.3636365
05/8/2017,2253083333.3333335
05/5/2017,3427700000.0
05/2/2017,1489500000.0
05/11/2016,3066366666.6666665
05/8/2016,1735786307.6923077
05/5/2016,4674517920.0
05/2/2016,5432431230.769231
05/11/2015,4597829923.076923
05/8/2015,2873636923.076923
05/5/2015,949975000.0
05/2/2015,16051538.461538462
05/11/2014,241633846.15384614
05/8/2014,28939166.666666668
05/5/2014,65553750.0
05/2/2014,15770000.0
05/11/2013,2439166.6666666665
05/8/2013,1180000.0
05/5/2013,8741428.57142857
05/2/2013,10954166.666666666
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
