date,Value Volume
05/8/2021,1321538461.5384614
05/5/2021,2926333333.3333335
05/2/2021,3086923076.923077
05/11/2020,8248230769.230769
05/8/2020,28455000.0
05/5/2020,0.0
05/2/2020,284710000.0
05/11/2019,42875000.0
05/8/2019,64980909.09090909
05/5/2019,69784285.71428572
05/2/2019,68900000.0
05/11/2018,
05/8/2018,
05/5/2018,
05/2/2018,
05/11/2017,
05/8/2017,
05/5/2017,
05/2/2017,
05/11/2016,
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
