date,Value Volume
05/8/2021,3654076923.076923
05/5/2021,1613666666.6666667
05/2/2021,797923076.9230769
05/11/2020,50461538.461538464
05/8/2020,87692307.6923077
05/5/2020,2900000.0
05/2/2020,1625000.0
05/11/2019,47833333.333333336
05/8/2019,47909090.90909091
05/5/2019,19571428.57142857
05/2/2019,51700000.0
05/11/2018,83000000.0
05/8/2018,284454545.45454544
05/5/2018,277625000.0
05/2/2018,830231981.8181819
05/11/2017,607431845.4545455
05/8/2017,927913116.6666666
05/5/2017,1407918000.0
05/2/2017,490238333.3333333
05/11/2016,1036709166.6666666
05/8/2016,2975209230.769231
05/5/2016,6416890000.0
05/2/2016,1434108461.5384614
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
