date,Value Volume
05/8/2021,18538461.53846154
05/5/2021,141555555.55555555
05/2/2021,545769230.7692307
05/11/2020,1615384.6153846155
05/8/2020,50769230.76923077
05/5/2020,285700000.0
05/2/2020,37000000.0
05/11/2019,74750000.0
05/8/2019,49545454.54545455
05/5/2019,167285714.2857143
05/2/2019,77800000.0
05/11/2018,75727272.72727273
05/8/2018,64818181.81818182
05/5/2018,277125000.0
05/2/2018,833490000.0
05/11/2017,3774909090.909091
05/8/2017,
05/5/2017,
05/2/2017,
05/11/2016,
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
