date,Value Volume
05/8/2021,492697153846.1539
05/5/2021,717506555555.5555
05/2/2021,280744538461.53845
05/11/2020,194570000000.0
05/8/2020,140911076923.07693
05/5/2020,116159800000.0
05/2/2020,94307625000.0
05/11/2019,88350666666.66667
05/8/2019,67862363636.36364
05/5/2019,53798000000.0
05/2/2019,31453600000.0
05/11/2018,42974727272.72727
05/8/2018,23891909090.909092
05/5/2018,
05/2/2018,
05/11/2017,
05/8/2017,
05/5/2017,
05/2/2017,
05/11/2016,
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
