date,Value Volume
05/8/2021,434254331869.2308
05/5/2021,207194178344.44446
05/2/2021,123844769230.76923
05/11/2020,20629000000.0
05/8/2020,7669153846.153846
05/5/2020,9564300000.0
05/2/2020,4804125000.0
05/11/2019,4062750000.0
05/8/2019,4828363636.363636
05/5/2019,6151857142.857142
05/2/2019,9483500000.0
05/11/2018,26438272727.272728
05/8/2018,16219000000.0
05/5/2018,46805750000.0
05/2/2018,60291674444.44444
05/11/2017,7361454545.454545
05/8/2017,8641530633.333334
05/5/2017,8432671000.0
05/2/2017,2333982766.6666665
05/11/2016,3432709541.6666665
05/8/2016,6772154069.230769
05/5/2016,10502022770.0
05/2/2016,8466442792.307693
05/11/2015,12227184976.923077
05/8/2015,26692761023.076923
05/5/2015,4765976475.0
05/2/2015,5619514823.076923
05/11/2014,17191196230.76923
05/8/2014,12644810283.333334
05/5/2014,26780603200.0
05/2/2014,3141349662.8333335
05/11/2013,11916687483.666666
05/8/2013,3803317545.4545455
05/5/2013,5551981428.571428
05/2/2013,40114764166.666664
05/11/2012,12412536363.636364
05/8/2012,46129332727.27273
05/5/2012,53913074444.44444
05/2/2012,25143723333.333332
05/11/2011,29678254166.666668
05/8/2011,14928031538.461538
05/5/2011,27544864000.0
05/2/2011,26967110000.0
05/11/2010,11703980769.23077
05/8/2010,16649157692.307692
05/5/2010,38943034444.44444
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
