date,Value Volume
05/8/2021,3563538461.5384617
05/5/2021,6379333333.333333
05/2/2021,3771461538.4615383
05/11/2020,1550692307.6923077
05/8/2020,1271769230.7692308
05/5/2020,2213500000.0
05/2/2020,1016875000.0
05/11/2019,1829333333.3333333
05/8/2019,3516181818.181818
05/5/2019,4039000000.0
05/2/2019,1527200000.0
05/11/2018,4236181818.181818
05/8/2018,1078909090.909091
05/5/2018,
05/2/2018,
05/11/2017,
05/8/2017,
05/5/2017,
05/2/2017,
05/11/2016,
05/8/2016,
05/5/2016,
05/2/2016,
05/11/2015,
05/8/2015,
05/5/2015,
05/2/2015,
05/11/2014,
05/8/2014,
05/5/2014,
05/2/2014,
05/11/2013,
05/8/2013,
05/5/2013,
05/2/2013,
05/11/2012,
05/8/2012,
05/5/2012,
05/2/2012,
05/11/2011,
05/8/2011,
05/5/2011,
05/2/2011,
05/11/2010,
05/8/2010,
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
