Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,VolumeARG,ValueARG
2021/2/0/0,-2.015386139,AAA,-1,-1,2.97E+12,4.70745E+13,92772805213,2.91E+12,3.26E+12,2.21E+12,11156000000,1.92E+12,1.13E+12,3.71E+12,-0.063091483,5266645.455,83505153846
2021/2/0/0,-7.481668312,AAM,-1,-1,1.23E+11,1.2669E+12,-3111751390,29831076463,29014500381,20758705252,11506984920,8492695685,1.17E+11,7755991010,-0.097087379,2145.454545,23538461.54
2021/2/0/0,-13.3831094,AAT,-1,-1,3.48E+11,6.4728E+12,15947639700,1.62E+11,1.89E+11,26635786428,1000000000,1.85E+11,17504966880,1.07E+11,-0.053763441,427545.4545,8599846154
2021/2/0/0,-424.0163717,ABS,-1,-1,8E+11,4.192E+13,6383428044,4.07E+11,4.28E+11,3413801294,4.25E+11,8.95E+11,5665725722,7.28E+11,-0.019083969,398272.7273,8605000000
2021/2/0/0,-11.57687243,ABT,-1,-1,1.41E+11,4.4415E+12,1104128039,66830085131,77678626775,44859176640,217151855,40227312467,1.69E+11,1.27E+11,-0.031746032,928.5454545,25011738.46
2021/2/0/0,-382.8509642,ACC,-1,-1,3E+11,4.635E+12,11975050157,1.17E+11,1.42E+11,25473951829,,2.3E+11,5.5E+11,4.5E+11,-0.064724919,45745.45455,617076923.1
2021/2/0/0,-213.8908746,ACL,-1,-1,5.02E+11,6.3252E+12,11209861473,3E+11,3.39E+11,57556136824,,1.37E+11,9.08E+11,7.72E+11,-0.079365079,31863.63636,400153846.2
2021/2/0/0,-13.40537241,ADG,-1,-1,1.8E+11,1.053E+13,12434800983,1.15E+11,1.35E+11,14252952806,1.28E+11,1.56E+11,8285512499,1.47E+11,-0.017094017,101690.9091,4609307692
2021/2/0/0,-439.6083372,ADS,-1,-1,2.81E+11,3.89185E+12,31845959798,3.31E+11,3.83E+11,37398669583,3.2E+11,6.26E+11,4.85E+11,1.26E+12,-0.072202166,413436.3636,12341538462
2021/2/0/0,-196.0258338,AGG,-1,-1,8.28E+11,3.77982E+13,1.89E+11,2.21E+11,2.6E+11,4.36E+11,2.56E+11,2.05E+12,7.03E+12,5.3E+12,-0.021905805,2036645.455,99279769231
2021/2/0/0,-94.17162659,AGM,-1,-1,1.82E+11,3.1395E+12,11360250965,6.18E+11,6.65E+11,57469385420,48100000000,2.9E+11,4.64E+11,5.83E+11,-0.057971014,18272.72727,944076923.1
2021/2/0/0,-2970.238872,AMD,-1,-1,1.64E+12,1.14964E+13,4756914416,4.16E+11,4.26E+11,9344320696,37422021918,1.72E+12,3.58E+11,7.18E+11,-0.142653352,2134154.545,10834923077
2021/2/0/0,-5605.010672,ANV,-1,-1,1.28E+12,2.8416E+13,23741757224,9.36E+11,1.07E+12,29241228671,5.2E+11,5.2E+11,1.92E+12,2.49E+12,-0.045045045,490290.9091,17209153846
2021/2/0/0,-0.379774456,APC,-1,-1,2.01E+11,4.53255E+12,-1046992898,22720632644,35630810829,78568576915,99011942750,37060870224,19787223,27137571173,-0.044345898,14090.90909,279538461.5
2021/2/0/0,-2.226741448,APH,-1,-1,1.95E+12,1.0452E+14,67458474301,3.29E+12,3.74E+12,2.41E+12,11156000000,2.39E+12,1.41E+12,4.54E+12,-0.018656716,927881.8182,44437769231
