,Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
0,2021/1/0/0,0.06184803786026708,AAA,15.85,-1.0,2217599740000,36923035671000.0,89518452312.0,2044520172452.0,2283617308096,967769374300,176256000000,2784501446413.0,1166690129425.0,4114416685869
1,2021/1/0/0,0.0220734892291592,AAM,10.3,-1.0,123464110000,1358105210000.0,-1103062544.0,29298515304.0,29978120725,18431928733,10634959920,11867539153.0,121498598121.0,10604256192
2,2021/1/0/0,0.02483947195659633,AAT,18.6,-1.0,348000000000,4663200000000.0,8878493003.0,98624825323.0,115831425628,57336761301,1000000000,176604306366.0,16899821459.0,160407880947
3,2021/1/0/0,0.003421846097552083,ABS,52.4,-1.0,800000000000,38400000000000.0,2067254499.0,117090924027.0,131398890146,1339315588,0,887300906734.0,5749863034.0,721979295366
4,2021/1/0/0,0.01069087198768329,ACC,15.45,-1.0,300000000000,5115000000000.0,16188173163.0,40271335056.0,54683810217,33030749555,0,157137579311.0,540183786553.0,371993145062
5,2021/1/0/0,0.04902767323835719,ACL,12.6,-1.0,501590190000,6570831489000.0,10939153929.0,289368385075.0,322152579147,84296300087,0,201645637568.0,930924237671.0,911257334408
6,2021/1/0/0,0.01505689894238253,ADG,58.5,-1.0,180003330000,10026185481000.0,3860098626.0,137857099281.0,150963261565,37583106428,106639281397,206043076341.0,2443547336.0,182436175268
7,2021/1/0/0,0.06625924159455676,ADS,13.85,-1.0,280694500000,4743737050000.0,18971620278.0,282902961068.0,314316419257,24225849418,338421691117,660139167423.0,516483309306.0,1299065640380
8,2021/1/0/0,0.00975700171854995,AGG,45.65,-1.0,827505770000,35127619936500.0,7160148938.0,215474756385.0,342740248089,580576816329,152123813108,2247152825216.0,5784774553867.0,4342356284583
9,2021/1/0/0,0.1468367333437426,AGM,17.25,-1.0,182000000000,2529800000000.0,2588223804.0,339143250433.0,371467568013,5291100585,102740000000,82956379217.0,510986434478.0,436670104765
10,2021/1/0/0,0.05745494516001361,AMD,7.01,-1.0,1635048740000,6294937649000.0,1989406935.0,343035171239.0,361675297409,12517749369,37422021918,1689070685338.0,323557153086.0,620603973200
11,2021/1/0/0,0.02385530029555047,ANV,22.2,-1.0,1275396250000,29589193000000.0,63799682967.0,563561220829.0,705859084518,63509761278,360314000000,371320086097.0,1988418748152.0,2250024375276
12,2021/1/0/0,0.006257007216192488,APC,22.55,-1.0,201213950000,5010227355000.0,9984538766.0,13450730815.0,31349028715,80213283425,87576000000,38465790571.0,73508893.0,32044359300
13,2021/1/0/0,0.03946844535472638,APH,53.6,-1.0,1393624590000,67521111385500.01,71993229475.0,2353372275086.0,2664953295009,1045605393459,176256000000,3152950175787.0,1412524781550.0,4888050571839
14,2021/1/0/0,0.007281621901240904,ASG,35.4,-1.0,630449640000,22885321932000.0,10013112697.0,119212669955.0,166642261397,303556288741,203229085066,293140121342.0,8817074123.0,274047113640
15,2021/1/0/0,0.06844336743478421,ASM,13.55,-1.0,2588678490000,40642252293000.0,150148336398.0,2451211152281.0,2781692607067,603291123780,1334878831231,3875375839905.0,3028481483338.0,6640837670758
16,2021/1/0/0,0.2897736035808687,ASP,6.89,-1.0,373399290000,2763154746000.0,6724129417.0,691701706351.0,800689308000,64619264411,212992357615,368307159086.0,88561072070.0,1074476684242
17,2021/1/0/0,0.002090618707777778,AST,53.5,-1.0,450000000000,27900000000000.0,-31832156775.0,42516907831.0,58328261947,38819274031,195354020000,46179066754.0,44731249050.0,78580647933
18,2021/1/0/0,0.01238144222445887,BCE,11.7,-1.0,350000000000,4620000000000.0,9821202694.0,40525631341.0,57202263077,72740683263,0,651588507299.0,115547217357.0,547148495880
19,2021/1/0/0,0.02104908596058995,BCG,13.15,-1.0,2034681400000,30113284720000.0,162716995169.0,430386701990.0,633857118627,1988968677417,682746433024,7538412045634.0,2200478543137.0,9153397119763
20,2021/1/0/0,0.002354737773445101,BCM,56.2,-1.0,10350000000000,594090000000000.0,467901654083.0,818970099653.0,1398926163826,2349209377309,86190000000,2609193704543.0,22002805904116.0,20219118906098
21,2021/1/0/0,0.138275124468847,BFC,21.3,-1.0,571679930000,12777046435500.0,68222733537.0,1543832651072.0,1766747686213,318750433862,0,835707728777.0,1072516920706.0,1734380163753
22,2021/1/0/0,0.008335053322562312,BHN,67.8,-1.0,2318000000000,165041600000000.0,47626093690.0,1045161929347.0,1375630536441,518807806046,1751365000000,359404351587.0,570699129844.0,1235790284593
23,2021/1/0/0,0.02550156091071428,BKG,10.05,-1.0,320000000000,3584000000000.0,5874281463.0,81589629030.0,91397594304,11491877792,0,198250230783.0,111870163481.0,60826918495
24,2021/1/0/0,0.008106577132935491,BMC,15.3,-1.0,123926300000,2224477085000.0,1349310691.0,13233569817.0,18032895070,93406815681,0,4017991940.0,90934921987.0,67628023964
25,2021/1/0/0,0.02379848843189278,BMP,59.4,-1.0,818609380000,48461675296000.0,83958490831.0,946845827760.0,1153314618922,203359762949,970000000000,334173818760.0,506856428073.0,470839531292
26,2021/1/0/0,0.04449404312658713,BRC,12.5,-1.0,123749970000,1713937084500.0,5519252266.0,56516468525.0,76259990554,11207708915,3000000000,95933413895.0,74860879243.0,85088905647
27,2021/1/0/0,0.02566762047467389,BTP,16.5,-1.0,604856000000,8861140400000.0,18284773734.0,234027000620.0,227444388760,180887478711,402650000000,273089547273.0,109233997072.0,283736080760
28,2021/1/0/0,0.003946613169112509,BTT,52.0,-1.0,135000000000,7155000000000.0,2073974867.0,15762481151.0,28238017225,6940392652,46650000000,9651886489.0,22087146702.0,30488631165
29,2021/1/0/0,0.01129325764188088,BWE,29.4,-1.0,1875000000000,59812500000000.0,177749636469.0,368465050406.0,675477972705,386722862004,480100000000,719120044717.0,849752970893.0,1794788183397
30,2021/1/0/0,0.01909731376206856,C32,26.1,-1.0,150301450000,4283591325000.0,7531554999.0,67806013119.0,81805087562,21977592112,65724471308,254344193124.0,95342170945.0,326357323320
