date,close
06/05/2021,22.20
08/02/2021,19.10
06/11/2020,21.30
06/08/2020,15.70
06/05/2020,16.35
06/02/2020,18.80
06/11/2019,25.80
06/08/2019,24.20
06/05/2019,28.00
11/02/2019,28.05
06/11/2018,25.50
06/08/2018,18.00
07/05/2018,24.00
06/02/2018,15.00
06/11/2017,9.27
07/08/2017,16.40
08/05/2017,7.44
06/02/2017,5.00
07/11/2016,7.50
08/08/2016,5.30
06/05/2016,7.30
15/02/2016,6.90
06/11/2015,9.00
06/08/2015,9.50
06/05/2015,8.90
06/02/2015,10.20
06/11/2014,10.80
06/08/2014,9.70
06/05/2014,9.60
06/02/2014,9.10
06/11/2013,7.00
06/08/2013,7.10
06/05/2013,6.50
06/02/2013,7.40
06/11/2012,6.00
06/08/2012,8.50
07/05/2012,11.00
06/02/2012,7.90
07/11/2011,7.70
08/08/2011,6.40
06/05/2011,9.10
08/02/2011,13.50
08/11/2010,13.50
06/08/2010,19.80
06/05/2010,24.90
08/02/2010,14.80
06/11/2009,20.00
06/08/2009,17.50
06/05/2009,15.40
06/02/2009,14.80
06/11/2008,21.80
06/08/2008,43.20
06/05/2008,64.00
12/02/2008,85.00
