date,close
06/05/2021,64.00
08/02/2021,60.00
06/11/2020,48.00
06/08/2020,44.20
06/05/2020,43.40
06/02/2020,56.50
06/11/2019,60.90
06/08/2019,64.00
06/05/2019,66.60
11/02/2019,62.80
06/11/2018,77.00
06/08/2018,72.00
07/05/2018,80.00
06/02/2018,88.90
06/11/2017,102.00
07/08/2017,110.00
08/05/2017,106.10
06/02/2017,117.00
07/11/2016,86.50
08/08/2016,89.00
06/05/2016,72.00
15/02/2016,68.50
06/11/2015,59.00
06/08/2015,64.00
06/05/2015,61.00
06/02/2015,56.00
06/11/2014,56.50
06/08/2014,54.50
06/05/2014,42.50
06/02/2014,32.40
06/11/2013,33.00
06/08/2013,25.90
06/05/2013,20.50
06/02/2013,19.10
06/11/2012,13.20
06/08/2012,18.60
07/05/2012,26.60
06/02/2012,12.10
07/11/2011,10.40
08/08/2011,10.80
06/05/2011,13.90
08/02/2011,21.00
08/11/2010,21.50
06/08/2010,27.90
06/05/2010,33.00
08/02/2010,30.80
06/11/2009,34.90
06/08/2009,35.20
06/05/2009,17.20
06/02/2009,11.40
06/11/2008,16.50
06/08/2008,19.10
06/05/2008,54.50
12/02/2008,82.00
