date,close
06/05/2021,62.50
08/02/2021,68.60
06/11/2020,56.80
06/08/2020,76.50
06/05/2020,65.20
06/02/2020,53.10
06/11/2019,75.10
06/08/2019,113.00
06/05/2019,119.50
11/02/2019,135.30
06/11/2018,152.00
06/08/2018,156.50
07/05/2018,137.00
06/02/2018,175.00
06/11/2017,238.00
07/08/2017,211.00
08/05/2017,201.50
06/02/2017,191.00
07/11/2016,182.50
08/08/2016,203.00
06/05/2016,175.00
15/02/2016,146.00
06/11/2015,123.00
06/08/2015,90.00
06/05/2015,75.50
06/02/2015,59.00
06/11/2014,61.00
06/08/2014,61.00
06/05/2014,58.00
06/02/2014,69.50
06/11/2013,44.00
06/08/2013,37.80
06/05/2013,36.30
06/02/2013,30.00
06/11/2012,28.50
06/08/2012,32.50
07/05/2012,42.50
06/02/2012,29.00
07/11/2011,24.00
08/08/2011,39.80
06/05/2011,53.00
08/02/2011,68.00
08/11/2010,67.00
06/08/2010,74.00
06/05/2010,140.00
08/02/2010,113.00
