date,close
06/05/2021,49.30
08/02/2021,47.50
06/11/2020,38.25
06/08/2020,34.10
06/05/2020,34.60
06/02/2020,32.00
06/11/2019,31.85
06/08/2019,36.45
06/05/2019,36.35
11/02/2019,32.00
06/11/2018,29.05
06/08/2018,27.70
07/05/2018,28.55
06/02/2018,28.20
06/11/2017,33.50
07/08/2017,36.50
08/05/2017,29.70
06/02/2017,28.30
07/11/2016,30.00
08/08/2016,31.00
06/05/2016,23.80
15/02/2016,21.30
06/11/2015,17.80
06/08/2015,18.30
06/05/2015,17.50
06/02/2015,14.50
06/11/2014,14.40
06/08/2014,10.50
06/05/2014,9.30
06/02/2014,9.20
06/11/2013,7.90
06/08/2013,7.60
06/05/2013,9.00
06/02/2013,9.90
06/11/2012,8.60
06/08/2012,10.30
07/05/2012,13.60
06/02/2012,10.00
07/11/2011,10.20
08/08/2011,12.50
06/05/2011,14.20
08/02/2011,21.20
08/11/2010,21.80
06/08/2010,27.10
06/05/2010,53.00
08/02/2010,39.60
06/11/2009,46.30
06/08/2009,29.90
06/05/2009,21.10
06/02/2009,17.70
06/11/2008,22.00
06/08/2008,26.20
06/05/2008,26.50
12/02/2008,55.00
