date,close
06/05/2021,27.80
08/02/2021,28.80
06/11/2020,20.00
06/08/2020,12.30
06/05/2020,11.35
06/02/2020,11.50
06/11/2019,13.80
06/08/2019,12.55
06/05/2019,15.00
11/02/2019,16.05
06/11/2018,14.75
06/08/2018,15.80
07/05/2018,22.50
06/02/2018,20.90
06/11/2017,14.90
07/08/2017,16.55
08/05/2017,11.75
06/02/2017,7.69
07/11/2016,7.20
08/08/2016,7.20
06/05/2016,9.00
15/02/2016,8.20
06/11/2015,11.60
06/08/2015,12.00
06/05/2015,11.50
06/02/2015,12.50
06/11/2014,14.10
06/08/2014,16.10
06/05/2014,15.90
06/02/2014,13.90
06/11/2013,12.30
06/08/2013,8.70
06/05/2013,11.90
06/02/2013,14.60
06/11/2012,12.00
06/08/2012,16.90
07/05/2012,21.60
06/02/2012,12.50
07/11/2011,15.30
08/08/2011,15.80
06/05/2011,22.80
08/02/2011,38.60
08/11/2010,41.60
06/08/2010,52.50
06/05/2010,71.00
08/02/2010,68.50
06/11/2009,118.00
