date,close
06/05/2021,13.95
08/02/2021,13.50
06/11/2020,10.55
06/08/2020,8.28
06/05/2020,5.27
06/02/2020,6.85
06/11/2019,8.26
06/08/2019,9.76
06/05/2019,9.95
11/02/2019,9.18
06/11/2018,8.90
06/08/2018,9.74
07/05/2018,10.40
06/02/2018,9.50
06/11/2017,9.94
07/08/2017,11.00
08/05/2017,9.45
06/02/2017,5.10
07/11/2016,4.63
08/08/2016,4.10
06/05/2016,5.40
15/02/2016,5.60
06/11/2015,6.90
06/08/2015,7.60
06/05/2015,6.80
06/02/2015,7.70
06/11/2014,9.10
06/08/2014,7.70
06/05/2014,6.50
06/02/2014,6.40
06/11/2013,6.00
06/08/2013,5.50
06/05/2013,6.20
06/02/2013,8.90
06/11/2012,5.90
06/08/2012,10.60
07/05/2012,13.60
06/02/2012,9.30
07/11/2011,11.40
08/08/2011,12.10
06/05/2011,25.50
08/02/2011,32.80
08/11/2010,30.00
06/08/2010,39.10
06/05/2010,77.00
08/02/2010,73.00
06/11/2009,82.50
06/08/2009,61.50
06/05/2009,54.50
06/02/2009,35.00
