date,close
06/05/2021,3.10
08/02/2021,2.61
06/11/2020,1.67
06/08/2020,1.66
06/05/2020,1.60
06/02/2020,1.70
06/11/2019,2.17
06/08/2019,1.96
06/05/2019,2.68
11/02/2019,2.20
06/11/2018,2.71
06/08/2018,3.07
07/05/2018,3.50
06/02/2018,3.70
06/11/2017,3.65
07/08/2017,3.94
08/05/2017,2.64
06/02/2017,2.14
07/11/2016,2.10
08/08/2016,2.60
06/05/2016,3.10
15/02/2016,3.40
06/11/2015,4.80
06/08/2015,5.40
06/05/2015,5.10
06/02/2015,6.20
06/11/2014,7.50
06/08/2014,6.50
06/05/2014,6.70
06/02/2014,5.60
06/11/2013,4.30
06/08/2013,3.80
06/05/2013,3.90
06/02/2013,4.70
06/11/2012,3.70
06/08/2012,6.00
07/05/2012,8.00
06/02/2012,5.60
07/11/2011,9.50
08/08/2011,10.00
06/05/2011,13.00
08/02/2011,14.40
08/11/2010,17.50
06/08/2010,36.70
06/05/2010,59.50
08/02/2010,31.80
06/11/2009,56.50
