date,close
06/05/2021,24.50
08/02/2021,23.25
06/11/2020,17.70
06/08/2020,15.25
06/05/2020,16.95
06/02/2020,20.80
06/11/2019,22.60
06/08/2019,25.80
06/05/2019,23.00
11/02/2019,18.00
06/11/2018,12.35
06/08/2018,9.75
07/05/2018,9.61
06/02/2018,9.00
06/11/2017,9.71
07/08/2017,10.05
08/05/2017,10.35
06/02/2017,9.15
07/11/2016,9.50
08/08/2016,9.70
06/05/2016,9.80
15/02/2016,12.30
06/11/2015,14.30
06/08/2015,14.90
06/05/2015,11.00
06/02/2015,13.10
06/11/2014,15.50
06/08/2014,14.70
06/05/2014,14.50
06/02/2014,15.80
06/11/2013,14.20
06/08/2013,12.20
06/05/2013,13.50
06/02/2013,16.80
06/11/2012,13.30
06/08/2012,20.10
07/05/2012,25.80
06/02/2012,13.40
07/11/2011,19.10
08/08/2011,17.60
06/05/2011,50.50
08/02/2011,69.50
08/11/2010,65.50
06/08/2010,76.50
06/05/2010,166.00
08/02/2010,137.00
06/11/2009,139.00
06/08/2009,85.50
06/05/2009,35.20
06/02/2009,30.30
06/11/2008,42.00
06/08/2008,36.90
06/05/2008,90.50
12/02/2008,287.00
