date,close
06/05/2021,8.18
08/02/2021,7.11
06/11/2020,5.95
06/08/2020,6.02
06/05/2020,7.81
06/02/2020,3.66
06/11/2019,4.55
06/08/2019,4.45
06/05/2019,5.10
11/02/2019,4.45
06/11/2018,7.25
06/08/2018,8.56
07/05/2018,9.30
06/02/2018,12.70
06/11/2017,14.35
07/08/2017,22.35
08/05/2017,10.90
06/02/2017,4.25
07/11/2016,3.90
08/08/2016,4.40
06/05/2016,4.50
15/02/2016,4.70
06/11/2015,5.90
06/08/2015,6.80
06/05/2015,7.40
06/02/2015,9.10
06/11/2014,9.40
06/08/2014,7.90
06/05/2014,11.20
06/02/2014,6.40
06/11/2013,6.60
06/08/2013,7.00
06/05/2013,6.90
06/02/2013,7.30
06/11/2012,6.90
06/08/2012,9.00
07/05/2012,12.50
06/02/2012,13.80
07/11/2011,18.00
08/08/2011,17.50
06/05/2011,16.70
08/02/2011,25.90
08/11/2010,26.90
09/08/2010,45.50
