date,close
06/05/2021,25.45
08/02/2021,9.80
06/11/2020,8.30
06/08/2020,9.84
06/05/2020,8.54
06/02/2020,8.88
06/11/2019,9.10
06/08/2019,8.75
06/05/2019,8.20
11/02/2019,8.01
06/11/2018,6.79
06/08/2018,6.00
07/05/2018,6.88
06/02/2018,5.94
06/11/2017,7.54
07/08/2017,8.80
08/05/2017,8.08
06/02/2017,8.28
07/11/2016,7.96
08/08/2016,8.60
06/05/2016,10.80
15/02/2016,11.50
06/11/2015,13.80
06/08/2015,12.90
06/05/2015,8.40
06/02/2015,7.20
06/11/2014,7.90
06/08/2014,5.80
06/05/2014,6.10
06/02/2014,4.40
06/11/2013,5.00
06/08/2013,4.50
06/05/2013,4.70
06/02/2013,4.90
06/11/2012,4.00
06/08/2012,5.70
07/05/2012,7.80
06/02/2012,5.30
07/11/2011,8.40
08/08/2011,9.70
06/05/2011,15.70
08/02/2011,17.70
08/11/2010,24.90
06/08/2010,30.30
06/05/2010,39.10
08/02/2010,25.50
