date,close
06/05/2021,30.10
08/02/2021,28.90
06/11/2020,27.25
06/08/2020,19.20
06/05/2020,17.05
06/02/2020,12.70
06/11/2019,15.00
06/08/2019,15.70
06/05/2019,14.30
11/02/2019,11.95
06/11/2018,12.15
06/08/2018,12.00
07/05/2018,13.30
06/02/2018,14.00
06/11/2017,12.00
07/08/2017,12.45
08/05/2017,12.00
06/02/2017,10.90
07/11/2016,9.00
08/08/2016,8.60
06/05/2016,9.00
15/02/2016,9.00
06/11/2015,9.30
06/08/2015,10.40
06/05/2015,10.90
06/02/2015,11.20
06/11/2014,11.80
06/08/2014,11.20
06/05/2014,14.20
06/02/2014,14.90
06/11/2013,13.80
06/08/2013,13.40
06/05/2013,17.70
06/02/2013,17.90
06/11/2012,15.00
06/08/2012,18.30
07/05/2012,19.20
06/02/2012,12.80
07/11/2011,13.80
08/08/2011,13.70
06/05/2011,12.80
08/02/2011,16.70
08/11/2010,16.00
06/08/2010,21.00
06/05/2010,19.10
08/02/2010,14.00
06/11/2009,16.90
06/08/2009,14.30
06/05/2009,11.00
06/02/2009,7.20
06/11/2008,11.60
06/08/2008,14.30
06/05/2008,18.40
12/02/2008,30.80
