date,close
06/05/2021,51.20
08/02/2021,51.90
06/11/2020,45.70
06/08/2020,70.60
06/05/2020,63.70
06/02/2020,74.00
06/11/2019,89.00
06/08/2019,88.50
06/05/2019,143.10
11/02/2019,125.50
06/11/2018,107.10
06/08/2018,108.60
07/05/2018,115.50
06/02/2018,168.00
06/11/2017,167.80
07/08/2017,138.00
08/05/2017,213.00
06/02/2017,195.00
07/11/2016,176.00
08/08/2016,99.00
06/05/2016,98.00
15/02/2016,59.90
06/11/2015,44.70
06/08/2015,41.00
06/05/2015,41.20
06/02/2015,36.50
06/11/2014,26.50
06/08/2014,21.00
06/05/2014,22.10
06/02/2014,18.80
06/11/2013,12.80
06/08/2013,12.50
06/05/2013,14.70
06/02/2013,11.60
06/11/2012,10.50
06/08/2012,11.30
07/05/2012,14.10
06/02/2012,9.00
07/11/2011,9.50
08/08/2011,9.00
06/05/2011,12.00
08/02/2011,13.80
08/11/2010,20.90
06/08/2010,21.00
06/05/2010,27.00
08/02/2010,18.10
06/11/2009,26.50
