date,close
06/05/2021,48.05
08/02/2021,59.90
06/11/2020,44.65
06/08/2020,32.50
06/05/2020,27.15
06/02/2020,25.15
06/11/2019,26.15
06/08/2019,26.85
06/05/2019,35.80
11/02/2019,43.00
06/11/2018,40.00
06/08/2018,39.30
07/05/2018,34.00
06/02/2018,34.70
06/11/2017,49.80
07/08/2017,56.40
08/05/2017,57.00
06/02/2017,59.50
07/11/2016,59.20
08/08/2016,64.50
06/05/2016,56.50
15/02/2016,67.50
06/11/2015,70.00
06/08/2015,53.50
06/05/2015,51.50
06/02/2015,49.50
06/11/2014,55.50
06/08/2014,57.00
06/05/2014,61.00
06/02/2014,68.50
06/11/2013,47.80
06/08/2013,38.90
06/05/2013,41.50
06/02/2013,38.60
06/11/2012,31.50
06/08/2012,35.20
07/05/2012,37.00
06/02/2012,28.10
07/11/2011,29.50
08/08/2011,30.90
06/05/2011,63.00
08/02/2011,62.50
08/11/2010,65.00
06/08/2010,69.00
06/05/2010,86.50
08/02/2010,92.00
06/11/2009,113.00
06/08/2009,84.50
06/05/2009,53.50
06/02/2009,42.40
06/11/2008,66.00
06/08/2008,60.50
06/05/2008,63.50
12/02/2008,127.00
