date,close
05/05/2021,22.30
05/02/2021,21.80
05/11/2020,19.60
05/08/2020,18.20
05/05/2020,17.20
05/02/2020,19.00
05/11/2019,22.40
05/08/2019,25.30
06/05/2019,28.00
05/11/2018,37.40
06/08/2018,31.95
07/05/2018,31.60
05/02/2018,70.50
06/11/2017,61.50
07/08/2017,35.60
05/05/2017,25.10
06/02/2017,22.45
07/11/2016,19.60
05/08/2016,18.60
05/05/2016,17.00
05/02/2016,16.90
05/11/2015,19.90
05/08/2015,19.00
05/05/2015,17.10
05/02/2015,17.70
05/11/2014,17.80
05/08/2014,15.10
05/05/2014,14.00
06/02/2014,14.50
05/11/2013,12.40
05/08/2013,10.30
06/05/2013,10.00
05/02/2013,10.60
05/11/2012,10.00
06/08/2012,12.30
07/05/2012,15.40
06/02/2012,16.90
07/11/2011,13.80
05/08/2011,12.10
05/05/2011,13.10
08/02/2011,13.80
05/11/2010,13.00
05/08/2010,18.40
05/05/2010,24.70
05/02/2010,39.00
